date,day,month,year,pm_2_5
2022-02-25,25,2,2022,11.355327184667576
2022-02-26,26,2,2022,7.163318622373731
2022-02-27,27,2,2022,9.428602534854358
2022-02-28,28,2,2022,8.892643213399728
2022-03-01,1,3,2022,8.36254428583729
2022-03-02,2,3,2022,9.901734871449769
2022-03-03,3,3,2022,12.209402080652978
2022-03-04,4,3,2022,10.329314348909644
2022-03-05,5,3,2022,14.809151397809746
2022-03-06,6,3,2022,17.525053738650996
2022-03-07,7,3,2022,12.603573224708352
2022-03-08,8,3,2022,18.77779455941377
2022-03-09,9,3,2022,7.332418724050093
2022-03-10,10,3,2022,12.746674694412318
2022-03-11,11,3,2022,20.536516666572183
2022-03-12,12,3,2022,19.839221263763694
2022-03-13,13,3,2022,19.1419258609552
2022-03-14,14,3,2022,18.44463045814671
2022-03-15,15,3,2022,9.535945129928937
2022-03-16,16,3,2022,11.391359470668547
2022-03-17,17,3,2022,14.361248376249115
2022-03-18,18,3,2022,14.046917839071664
2022-03-19,19,3,2022,12.134370417758912
2022-03-20,20,3,2022,8.832901142012012
2022-03-21,21,3,2022,10.96402345601445
2022-03-22,22,3,2022,10.9311079261732
2022-03-23,23,3,2022,15.478874882184066
2022-03-24,24,3,2022,16.09840907911366
2022-03-25,25,3,2022,14.580892039087132
2022-03-26,26,3,2022,13.018720572029284
2022-03-27,27,3,2022,11.361646478887316
2022-03-28,28,3,2022,14.04068527881652
2022-03-29,29,3,2022,15.116201795637416
2022-03-30,30,3,2022,20.66144794343674
2022-03-31,31,3,2022,18.067837631532736
2022-04-01,1,4,2022,14.694992244099565
2022-04-02,2,4,2022,16.091493410523444
2022-04-03,3,4,2022,17.49826358373021
2022-04-04,4,4,2022,7.464330528730232
2022-04-05,5,4,2022,4.677061775946025
2022-04-06,6,4,2022,6.607290320802433
2022-04-07,7,4,2022,7.612189853837831
2022-04-08,8,4,2022,10.89702937751625
2022-04-09,9,4,2022,11.29662858795689
2022-04-10,10,4,2022,17.642680460198005
2022-04-11,11,4,2022,21.909036030794155
2022-04-12,12,4,2022,23.704784623054213
2022-04-13,13,4,2022,25.5429744398178
2022-04-14,14,4,2022,27.38116425658139
2022-04-15,15,4,2022,24.15914563538639
2022-04-16,16,4,2022,27.00450160771704
2022-04-17,17,4,2022,25.13340046426478
2022-04-18,18,4,2022,22.287351363305127
2022-04-19,19,4,2022,24.02534354849941
2022-04-20,20,4,2022,19.80936764087568
2022-04-21,21,4,2022,17.094063166362393
